2026-05-21 22:34:23,419 [INFO] [RELAY] init pins={1: 17, 2: 27, 3: 22, 4: 23} active_high=True real_gpio=True
2026-05-21 22:34:25,598 [INFO] Model loaded. classes=['charger', 'cleaner', 'dryer', 'microwave', 'tv']
2026-05-21 22:34:25,599 [INFO] Feature count: 20
2026-05-21 22:34:25,650 [INFO] [MOBILE UI] serving on http://0.0.0.0:5000
2026-05-21 22:34:29,304 [INFO] [INIT BASELINE] Irms=63.60, H1=27.90, Pabs=35980.53
2026-05-21 22:34:29,309 [INFO] [STARTUP] Irms=63.60 높지만 H1=27.90 < 300.0 → 센서 idle 노이즈/오프셋으로 처리 (기기 등록 안 함).
2026-05-21 22:34:41,375 [INFO] [NEAR-MISS] d_irms=3.3, d_h1=324.9, baseline_irms=64.5, baseline_h1=39.5
2026-05-21 22:34:42,534 [INFO] [NEAR-MISS] d_irms=4.9, d_h1=511.1, baseline_irms=64.7, baseline_h1=56.6
2026-05-21 22:34:43,697 [INFO] [NEAR-MISS] d_irms=3.7, d_h1=396.9, baseline_irms=64.9, baseline_h1=76.9
2026-05-21 22:34:44,849 [INFO] [NEAR-MISS] d_irms=0.6, d_h1=146.7, baseline_irms=65.0, baseline_h1=89.1
2026-05-21 22:34:46,061 [INFO] [NEAR-MISS] d_irms=0.5, d_h1=170.9, baseline_irms=65.0, baseline_h1=95.5
2026-05-21 22:34:47,227 [INFO] [NEAR-MISS] d_irms=0.6, d_h1=172.0, baseline_irms=65.0, baseline_h1=102.2
2026-05-21 22:34:48,390 [INFO] [NEAR-MISS] d_irms=0.7, d_h1=162.2, baseline_irms=65.0, baseline_h1=109.3
2026-05-21 22:34:49,547 [INFO] [NEAR-MISS] d_irms=0.8, d_h1=178.3, baseline_irms=65.1, baseline_h1=115.7
2026-05-21 22:34:50,758 [INFO] [NEAR-MISS] d_irms=0.7, d_h1=171.1, baseline_irms=65.1, baseline_h1=122.7
2026-05-21 22:34:51,918 [INFO] [NEAR-MISS] d_irms=0.5, d_h1=166.0, baseline_irms=65.1, baseline_h1=129.5
2026-05-21 22:34:53,085 [INFO] [NEAR-MISS] d_irms=0.7, d_h1=130.1, baseline_irms=65.1, baseline_h1=135.6
2026-05-21 22:34:54,250 [INFO] [NEAR-MISS] d_irms=0.7, d_h1=116.6, baseline_irms=65.2, baseline_h1=140.6
2026-05-21 22:34:55,461 [INFO] [NEAR-MISS] d_irms=0.8, d_h1=128.7, baseline_irms=65.2, baseline_h1=145.1
2026-05-21 22:34:56,621 [INFO] [NEAR-MISS] d_irms=0.7, d_h1=129.1, baseline_irms=65.2, baseline_h1=150.2
2026-05-21 22:34:57,833 [INFO] [NEAR-MISS] d_irms=0.9, d_h1=141.9, baseline_irms=65.3, baseline_h1=155.5
2026-05-21 22:34:58,918 [INFO] [RELAY] socket1 pin=17 -> OFF
2026-05-21 22:34:58,920 [INFO] [RELAY] socket2 pin=27 -> OFF
2026-05-21 22:34:58,921 [INFO] [RELAY] socket3 pin=22 -> OFF
2026-05-21 22:34:58,921 [INFO] [RELAY] socket4 pin=23 -> OFF
2026-05-21 22:34:58,922 [INFO] [RELAY] closed (all OFF, GPIO cleanup)
